Employee_ID,Department,Job_Title,Location,Performance_Rating,Experience_Years,Work_Mode,Salary_INR,Status
E00001,Support,Support Engineer,Kolkata,3,7,Hybrid,2484489,Resigned
E00002,Finance,Auditor,Chennai,4,7,Hybrid,579365,Active
E00003,Sales,Sales Manager,Pune,2,20,Hybrid,1646025,Active
E00004,Sales,Sales Executive,Bangalore,3,9,On-site,777035,Active
E00005,Marketing,SEO Specialist,Kolkata,3,11,Hybrid,778178,Active
E00006,IT,Data Analyst,Hyderabad,1,13,Remote,1715689,Resigned
E00007,Sales,BD Associate,Hyderabad,4,7,On-site,854365,Active
E00008,HR,HR Manager,Pune,2,3,On-site,2345505,Active
E00009,HR,HR Manager,Pune,4,13,Hybrid,1834398,Active
E00010,Support,Support Engineer,Pune,5,15,Hybrid,1572905,Active
E00011,Sales,Sales Executive,Bangalore,5,14,On-site,298984,Active
E00012,IT,ML Engineer,Kolkata,3,18,Hybrid,2361138,Active
E00013,Finance,Accountant,Mumbai,2,8,Remote,2093400,Active
E00014,HR,HR Assistant,Kolkata,5,2,Hybrid,1571685,Active
E00015,IT,System Admin,Chennai,3,0,Hybrid,2222990,Active
E00016,Finance,Accountant,Kolkata,2,9,On-site,1019598,Active
E00017,IT,ML Engineer,Chennai,4,4,On-site,1223548,Active
E00018,Operations,Operations Executive,Kolkata,3,18,On-site,293585,Active
E00019,Marketing,Marketing Executive,Chennai,4,11,On-site,2259021,Active
E00020,HR,Recruiter,Hyderabad,1,6,Remote,1951240,Active
E00021,IT,ML Engineer,Chennai,1,2,On-site,271959,Resigned
E00022,Marketing,Marketing Executive,Bangalore,3,9,On-site,1634250,Active
E00023,IT,ML Engineer,Bangalore,1,19,On-site,315318,Resigned
E00024,IT,DevOps Engineer,Bangalore,1,16,Remote,1650804,Active
E00025,IT,System Admin,Pune,2,20,On-site,1533743,Active
E00026,Support,Tech Support,Delhi,3,16,Hybrid,2268163,Active
E00027,Marketing,Content Strategist,Kolkata,1,8,On-site,2398815,Resigned
E00028,Sales,BD Associate,Hyderabad,3,2,Remote,392483,Active
E00029,Sales,Sales Executive,Bangalore,2,7,On-site,1306731,Active
E00030,HR,Recruiter,Kolkata,2,2,On-site,895263,Active
E00031,IT,ML Engineer,Hyderabad,1,1,Remote,367796,Active
E00032,Support,Support Engineer,Bangalore,3,18,Hybrid,1829159,Active
E00033,IT,ML Engineer,Delhi,1,7,Hybrid,434423,Active
E00034,Finance,Financial Analyst,Bangalore,3,17,On-site,1376081,Active
E00035,Operations,Operations Executive,Hyderabad,1,3,On-site,1127844,Resigned
E00036,Support,Tech Support,Bangalore,1,15,On-site,2233509,Resigned
E00037,Marketing,SEO Specialist,Chennai,3,7,Hybrid,2264484,Active
E00038,Sales,BD Associate,Bangalore,5,15,On-site,1765536,Active
E00039,Marketing,Marketing Executive,Pune,5,5,On-site,2181760,Active
E00040,Support,Tech Support,Hyderabad,1,19,On-site,1676388,Resigned
E00041,IT,System Admin,Mumbai,1,9,Remote,1664466,Active
E00042,HR,Recruiter,Pune,2,9,Remote,408823,Active
E00043,Finance,Financial Analyst,Kolkata,5,9,Remote,1742785,Active
E00044,Operations,Operations Manager,Kolkata,1,3,Hybrid,1536125,Active
E00045,Sales,BD Associate,Kolkata,4,1,On-site,916326,Active
E00046,Finance,Accountant,Mumbai,5,16,On-site,1688533,Active
E00047,Finance,Accountant,Bangalore,5,11,Remote,1254646,Active
E00048,Operations,Operations Manager,Kolkata,3,7,Hybrid,1393052,Active
E00049,HR,HR Manager,Delhi,1,18,On-site,1673286,Resigned
E00050,HR,HR Assistant,Pune,1,11,On-site,2151625,Active
E00051,Support,Customer Support,Pune,1,7,Remote,656716,Active
E00052,Support,Support Engineer,Pune,5,2,On-site,2414367,Resigned
E00053,Marketing,Marketing Executive,Chennai,4,4,On-site,328781,Active
E00054,Sales,Sales Manager,Mumbai,5,6,On-site,1357677,Active
E00055,HR,HR Manager,Pune,5,3,On-site,1137225,Active
E00056,Operations,Operations Executive,Hyderabad,2,16,Remote,971747,Active
E00057,HR,Recruiter,Hyderabad,1,0,Remote,1654330,Active
E00058,Finance,Accountant,Bangalore,2,10,On-site,358940,Resigned
E00059,Marketing,SEO Specialist,Chennai,3,17,Hybrid,2179305,Active
E00060,HR,HR Manager,Mumbai,2,18,On-site,253267,Resigned
E00061,HR,HR Assistant,Delhi,5,3,On-site,766771,Resigned
E00062,IT,System Admin,Bangalore,3,15,On-site,320640,Active
E00063,Support,Customer Support,Chennai,4,16,Hybrid,1148320,Active
E00064,Sales,Sales Executive,Pune,5,18,On-site,659995,Active
E00065,Finance,Accountant,Kolkata,4,13,Hybrid,675523,Active
E00066,Support,Support Engineer,Chennai,3,11,On-site,2059891,Active
E00067,IT,DevOps Engineer,Chennai,2,6,Remote,1139465,Active
E00068,Support,Support Engineer,Delhi,3,17,Remote,463945,Active
E00069,Operations,Operations Manager,Kolkata,5,7,On-site,1518506,Active
E00070,Operations,Operations Executive,Chennai,3,7,On-site,2299365,Active
E00071,Support,Tech Support,Bangalore,5,3,On-site,994699,Resigned
E00072,Operations,Operations Manager,Kolkata,3,9,Remote,2129490,Active
E00073,HR,HR Manager,Mumbai,4,7,On-site,555062,Active
E00074,Operations,Operations Manager,Bangalore,4,16,On-site,463920,Resigned
E00075,Marketing,SEO Specialist,Hyderabad,5,12,On-site,2475300,Resigned
E00076,Operations,Logistics Coordinator,Hyderabad,5,3,Hybrid,1277512,Active
E00077,IT,Software Engineer,Pune,1,20,Hybrid,2022802,Active
E00078,IT,System Admin,Hyderabad,2,15,Remote,1584679,Active
E00079,HR,HR Manager,Mumbai,4,17,On-site,1041267,Active
E00080,Marketing,Content Strategist,Bangalore,1,0,On-site,1292892,Active
E00081,Operations,Operations Executive,Pune,3,5,Remote,823695,Active
E00082,IT,Data Analyst,Mumbai,2,12,On-site,775303,Resigned
E00083,IT,Data Analyst,Kolkata,1,10,Hybrid,385230,Resigned
E00084,Finance,Auditor,Bangalore,5,0,On-site,520846,Resigned
E00085,Support,Customer Support,Hyderabad,1,4,Remote,592786,Active
E00086,Operations,Operations Executive,Chennai,2,9,On-site,1748189,Resigned
E00087,IT,System Admin,Chennai,5,3,On-site,950903,Active
E00088,Sales,BD Associate,Kolkata,2,1,On-site,1610642,Resigned
E00089,Sales,Sales Executive,Pune,4,4,On-site,948168,Active
E00090,Support,Tech Support,Kolkata,5,20,Hybrid,1784026,Active
E00091,Marketing,SEO Specialist,Pune,2,1,Hybrid,800222,Active
E00092,Support,Customer Support,Hyderabad,1,5,On-site,1603038,Resigned
E00093,Support,Customer Support,Delhi,1,4,Hybrid,1806617,Active
E00094,HR,HR Assistant,Hyderabad,4,4,Remote,2099396,Active
E00095,Marketing,Content Strategist,Delhi,3,18,Hybrid,929574,Active
E00096,Support,Tech Support,Pune,4,7,Hybrid,1555794,Active
E00097,Finance,Accountant,Mumbai,5,18,On-site,1779297,Active
E00098,Operations,Operations Manager,Chennai,1,4,On-site,1448425,Active
E00099,IT,Data Analyst,Chennai,3,8,On-site,1472869,Resigned
E00100,Marketing,Content Strategist,Kolkata,5,16,On-site,1164032,Active
E00101,Sales,BD Associate,Kolkata,2,13,On-site,1970684,Resigned
E00102,Finance,Auditor,Kolkata,3,14,Remote,1103499,Active
E00103,HR,HR Manager,Delhi,3,14,On-site,681734,Active
E00104,HR,Recruiter,Bangalore,1,6,On-site,1020173,Resigned
E00105,IT,DevOps Engineer,Hyderabad,1,3,On-site,1905016,Active
E00106,Support,Tech Support,Pune,2,14,Hybrid,331264,Resigned
